2020 Progressive Rock Albums,,Releases:,226,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,
,,LPs:,194,,,,,,,,
Feedback and Request Form,Creator: /u/iAmTheEpicOne,EPs:,31,,,,,,,,
,,Debuts:,48,,,,,,,,
Artist,Album,Release Date,Length,Genre / Subgenres,Vocal Style,Country / State,Bandcamp,Spotify,YouTube,Amazon,Apple Music
Karfagen,Birds of Passage,January 3,LP,"Prog-rock, Art-rock, Symphonic",Clean,Ukraine,BC,S,,,
Joel Martin,Roots,January 10,LP,Prog-rock,Instrumental,"Los Angeles, CA",BC,S,,,
Deserta,Black Aura My Sun,January 17,LP,"Post-rock, Dream pop, Shoegaze",Mixed,"Los Angeles, CA",BC,S,,,
Markus Reuter,Truce,January 17,LP,"Prog-rock, Jazz fusion",Instrumental,"Berlin, Germany",BC,S,,,
Gloe,Dead Wait,January 17,LP,"Post-rock, Math rock, Shoegaze",Clean,"Salt Lake City, UT",BC,S,,,
Glories ,Distant After,January 24,LP,"Post-rock, Ambient",Instrumental,"Birmingham, AL",BC,S,,,
Caspian,On Circles,January 24,LP,Post-rock,Instru./Clean,"Beverly, MA",BC,S,,,
Nektar,The Other Side,January 24,LP,Prog-rock,Instru./Clean,"New Jersey, NJ",BC,S,,,
Granite Hands,Void,January 30,EP,"Jazz fusion, math rock, space rock",Instrumental,"Austin, TX",BC,S,,,
Yuri Gagarin ,The Outskirts Of Reality,January 31,LP,"Space rock, Psychedelic, Stoner ",Instrumental,"Gothenburg, Sweden",BC,S,YT,,
Thematic,Skyrunner,January 31,LP,"Prog-rock, Alt-metal",Clean,"Fort Wayne, IN",,S,YT,,
Hällas,Conundrum,January 31,LP,"Prog-rock, Space rock, Psychedelic",Clean,"Jönköping, Sweden",BC,S,,,
Envy,The Fallen Crimson,February 7,LP,"Post-rock, Hardcore, Experimental",Mixed,Japan,BC,S,,,
Orange Clocks,Metamorphic,February 14,LP,"Prog-rock, Psychedelic rock",Clean,UK,BC,S,,,
Tame Impala,The Slow Rush,February 14,LP,"Psychedelic rock, Psychedelic Pop, Neo-Psychedelia",Clean,"Perth, Australia",,S,,,
Floral,Floral,February 15,LP,"Prog-rock, Math rock",Instrumental,"California, CA",BC,S,,,
Waves and Particles,Nightmare Machine (Side A),February 20,EP,"Prog-rock, Pop rock, Synth",Clean,"Los Angeles, CA",BC,S,,,
VASA,Heroics,February 21,LP,"Post-rock, math rock, Alternative",Instrumental,"Glasgow, Scotland",BC,S,,,
Lowrider,Refractions,February 21,LP,"Stoner rock, Desert rock, Sludge",Clean,"Stockholm, Sweden",BC,S,,,
Psalm Zero,Sparta,February 24,LP,"Experimental Rock, Avant-garde, Industrial",Clean,"New York, NY",BC,S,,,
Ben Levin,The Wave That Got Away,February 25,EP,"Prog-rock, Art rock, Art pop",Clean,"Boston, MA",BC,S,,,
Wishbone Ash,Coat of Arms,February 28,LP,Prog-rock,Clean,"Torquay, UK",,S,,,
Toundra,Das Cabinet des Dr. Caligari,February 28,LP,"Post-rock, Atmospheric Post-metal, Sludge metal ",Instrumental,"Madrid, Spain",BC,S,,,
John Holden,Rise and Fall,February 29,LP,"Prog-rock, Symphonic ",Clean,"Betley, UK",BC,,,,
Soften the Glare,Glint,March 3,LP,"Prog-rock, Jazz Fusion",Instrumental,"Raleigh, NC",BC,S,,,
Solkyri,Mount Pleasant,March 6,LP,"Post-rock, Shoegaze",Instrumental,"Sydney, Australia",BC,S,,,
Masvidal,Vessel,March 6,LP,"Prog-rock, Singer/Songwriter, Acoustic, Electronica",Clean,"Los Angeles, CA",BC,S,YT,,
Hiboux,Migrations,March 6,LP,"Prog-rock, Post-rock",Instrumental,"Wellington, New Zealand",BC,S,,,
Dai Kaht,Dai Kaht II,March 7,LP,"Prog-rock, Avant-rock, Zeuhl",Mixed,"Kajaani, Finland",BC,S,,,
Anubis,Homeless,March 10,LP,"Prog-rock, Cinematic, Experimental",Clean,"Sydney, Australia",BC,S,,,
hubris.,Metempsychosis,March 13,LP,"Prog-rock, Post-rock, Ambient",Instrumental,"Fribourg, Switzerland",BC,S,,,
GRUA,Do You Think God Listens to These Machines,March 19,EP,"Prog-rock, Post-rock",Instrumental,"Lisbon, Portugal",BC,S,,,
King Buffalo,Dead Star,March 20,EP,"Prog-rock, Psychedelic rock, Stoner",Clean,"Rochester, NY",BC,S,,,
Whale Fall,It Will Become Itself,March 27,LP,"Post-rock, Cinmatic, Improvisation",Instrumental,"Los Angeles, CA",BC,S,,,
Pure Reason Revolution,Eupnea,April 3,LP,"Prog-rock, Alternative, Electronic",Clean,"London, UK",BC,S,,,
Barrens,Penumbra,April 10,LP,"Post-rock, Ambient, Alt-rock",Instrumental,"Gothenburg, Sweden",BC,S,YT,,
Spell,Opulent Decay,April 10,LP,"Prog-rock, Psychedelic rock, Heavy metal",Clean,"Vancouver, Canada",BC,S,,,
Vasudeva,Generator,April 10,LP,"Post-rock, Math rock",Instrumental,"New Jersey, NJ",BC,S,,,
